split_seed,candidate_id,display_name,candidate_model_type,candidate_family,K,L,selection_metric,n_em_starts,model_type,model_family,em_start,em_seed,success,train_bic,train_aic,heldout_bic,heldout_aic,train_log_likelihood,heldout_log_likelihood,train_avg_log_likelihood,heldout_avg_log_likelihood,train_gmpd,heldout_gmpd,n_free_params,n_iter,converged,fit_time,n_train,n_test
15,gauss_vmf_tl_6x4,"Gaussian/vMF two-layer, (K,L)=(6,4)",two_layer_mixture,gaussian_vmf,6,4.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,1405188699,True,1130814.644694244,1129575.0193262314,283849.4480678015,282783.1061570116,-564662.5096631157,-141266.5530785058,-3.769643970726846,-3.7722383262171433,0.023060271957739215,0.023000522953169542,125,55,True,65.80657241699373,149792,37449
15,vmf_gauss_tl_3x2,"vMF/Gaussian two-layer, (K,L)=(3,2)",two_layer_mixture,vmf_gaussian,3,2.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,96567169,True,1141509.1445388221,1140864.5393474556,286236.2433765037,285681.74558289297,-570367.2696737278,-142775.87279144648,-3.8077285146985673,-3.8125416644355385,0.022198545401654963,0.02209195719696063,65,24,True,12.320709916995838,149792,37449
15,vmf_gauss_tl_6x4,"vMF/Gaussian two-layer, (K,L)=(6,4)",two_layer_mixture,vmf_gaussian,6,4.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,366928466,True,1120432.9583187317,1117943.7905797628,282023.7041292517,279882.4895723856,-558720.8952898814,-139690.2447861928,-3.7299782050435364,-3.7301461931211195,0.023993358765220258,0.023989328505533793,251,85,True,109.87985833299899,149792,37449
16,ind_cyl_k3,"Independent cylindrical mixture, K=3",cylindrical_mixture,independent,3,,train_bic,1,cylindrical_mixture,independent,0,518837878,True,1183975.8744660278,1183628.7793629842,296419.66101268615,296121.085277665,-591779.3896814921,-148025.5426388325,-3.9506741994331613,-3.952723507672635,0.019241724641444,0.019202332793400036,35,34,True,9.56299025000044,149792,37449
16,ind_cyl_k6,"Independent cylindrical mixture, K=6",cylindrical_mixture,independent,6,,train_bic,1,cylindrical_mixture,independent,0,1397226027,True,1146338.9120793627,1145634.8048703317,287685.1270225756,287079.4448172469,-572746.4024351658,-143468.72240862346,-3.823611424075824,-3.8310428157927707,0.02184875312959669,0.02168698829993381,71,53,True,21.19205908299773,149792,37449
16,full_cyl_k3,"Full cylindrical mixture, K=3",cylindrical_mixture,full,3,,train_bic,1,cylindrical_mixture,full,0,993146455,True,1166670.7137175882,1166145.112561551,292317.5434236022,291865.41445342725,-583019.5562807755,-145879.70722671362,-3.8921942178539273,-3.8954233017360576,0.02040053367665253,0.020334764885789152,53,26,True,9.001380458001222,149792,37449
16,full_cyl_k6,"Full cylindrical mixture, K=6",cylindrical_mixture,full,6,,train_bic,1,cylindrical_mixture,full,0,1874153063,True,1145234.238463444,1144173.1191484253,287320.3952700468,286407.6065944106,-571979.5595742126,-143096.8032972053,-3.8184920394561304,-3.8211114661861547,0.02196089209666715,0.02190344242434636,107,34,True,17.72498341699975,149792,37449
16,gauss_vmf_tl_3x2,"Gaussian/vMF two-layer, (K,L)=(3,2)",two_layer_mixture,gaussian_vmf,3,2.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,1839189744,True,1169706.9967608622,1169270.6486313217,292932.15621805517,292556.8038654571,-584591.3243156609,-146234.40193272856,-3.902687221718522,-3.9048947083427747,0.02018758996136788,0.020143075277413627,44,46,True,21.281757166005264,149792,37449
16,gauss_vmf_tl_6x4,"Gaussian/vMF two-layer, (K,L)=(6,4)",two_layer_mixture,gaussian_vmf,6,4.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,1742097171,True,1130288.6767280228,1129049.0513600102,284109.1699037524,283042.8279929625,-564399.5256800051,-141396.41399648125,-3.7678883096560902,-3.775706000066257,0.023100793540170392,0.02292090276940791,125,50,True,59.49977362500067,149792,37449
16,vmf_gauss_tl_3x2,"vMF/Gaussian two-layer, (K,L)=(3,2)",two_layer_mixture,vmf_gaussian,3,2.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,688259241,True,1141132.936480471,1140488.3312891044,286268.0551157943,285713.55732218357,-570179.1656445522,-142791.77866109178,-3.806472746505502,-3.812966398597874,0.02222643913927132,0.022082575980428832,65,24,True,12.125545916002011,149792,37449
